decade	coll	BE going to	will
1840	wait	0	50
1840	wake	0	0
1840	walk	0	23
1840	want	0	18
1840	wash	0	0
1840	waste	0	0
1840	watch	0	20
1840	wear	0	21
1840	win	1	18
1840	work	0	31
1840	write	3	62
1840	yield	0	46
1850	accept	0	42
1850	act	0	37
1850	add	0	56
1850	admit	0	70
1850	affect	0	16
1850	afford	0	59
1850	agree	0	36
1850	allow	2	95
1850	answer	1	117
1850	appear	0	93
1850	apply	0	25
1850	arise	0	34
1850	arrest	0	0
1850	arrive	0	21
1850	ask	8	45
1850	attack	2	0
1850	attempt	0	10
1850	attend	0	22
1850	be	74	7765
1850	bear	0	146
1850	beat	2	0
1850	become	1	178
1850	begin	4	47
1850	believe	1	47
1850	benefit	0	4
1850	blow	3	0
1850	break	6	56
1850	bring	7	144
1850	build	2	19
1850	burn	0	14
1850	bury	0	0
1850	buy	5	38
1850	call	2	101
1850	carry	4	74
1850	catch	1	0
1850	cause	0	50
1850	cease	0	32
1850	change	2	28
1850	check	0	0
1850	choose	0	11
1850	clean	0	0
1850	clear	2	0
1850	climb	0	0
1850	close	1	20
1850	come	1	501
1850	consider	0	26
1850	contain	0	29
1850	continue	0	111
1850	cook	0	0
1850	cost	1	27
1850	cover	0	15
1850	create	0	15
1850	cross	3	0
1850	cry	1	0
1850	cut	0	18
1850	dance	0	0
1850	decide	0	18
1850	deliver	0	28
1850	demand	0	13
1850	depend	0	70
1850	destroy	0	24
1850	determine	0	9
1850	develop	0	6
1850	die	12	59
1850	disappear	0	9
1850	discover	0	21
1850	do	46	818
1850	draw	1	38
1850	drink	1	0
1850	drive	4	37
1850	drop	1	16
1850	eat	4	20
1850	enable	0	97
1850	end	0	21
1850	enjoy	1	9
1850	enter	0	31
1850	excuse	0	37
1850	explain	1	60
1850	explode	0	0
1850	face	0	3
1850	fail	0	34
1850	faint	5	0
1850	fall	3	92
1850	feed	0	0
1850	feel	0	78
1850	fight	6	29
1850	fill	0	26
1850	find	2	643
1850	finish	0	0
1850	fire	2	0
1850	fix	0	0
1850	fly	2	23
1850	follow	4	106
1850	force	0	13
1850	forget	0	35
1850	forgive	0	45
1850	form	0	35
1850	furnish	0	44
1850	gain	0	30
1850	get	25	172
1850	give	16	532
1850	go	0	597
1850	grow	0	100
1850	handle	0	0
1850	hang	2	0
1850	happen	13	28
1850	hate	0	0
1850	have	37	1042
1850	hear	1	88
1850	help	2	83
1850	hire	1	0
1850	hit	0	0
1850	hold	1	72
1850	hunt	0	0
1850	hurt	0	0
1850	improve	0	13
1850	include	0	4
1850	increase	0	30
1850	insist	0	0
1850	introduce	0	0
1850	join	1	31
1850	jump	0	0
1850	keep	5	116
1850	kick	0	0
1850	kill	4	49
1850	kiss	1	0
1850	knock	0	0
1850	know	2	117
1850	land	0	0
1850	last	0	21
1850	lay	1	31
1850	lead	2	87
1850	learn	4	43
1850	leave	19	177
1850	let	5	123
1850	lie	0	29
1850	like	0	29
1850	listen	0	21
1850	live	7	83
1850	look	3	83
1850	lose	4	29
1850	love	0	65
1850	make	38	536
1850	marry	10	24
1850	mean	0	0
1850	meet	0	101
1850	miss	0	14
1850	move	3	18
1850	murder	2	0
1850	need	0	59
1850	occur	0	16
1850	offer	3	13
1850	open	3	27
1850	paint	0	0
1850	pardon	0	43
1850	pass	2	64
1850	pay	1	111
1850	perceive	0	35
1850	permit	0	89
1850	pick	1	0
1850	place	0	24
1850	play	1	15
1850	please	0	37
1850	present	2	28
1850	prevent	0	39
1850	proceed	0	39
